name,time,value
MemUsed LoggerApp,1674424784780.208,1080008
MemUsed LoggerApp,1674425182170.167,1080004
MemUsed LoggerApp,1674425222090.1648,1079564
MemUsed LoggerApp,1674425222710.1648,1079752
MemUsed LoggerApp,1674425243770.1602,1079748
MemUsed LoggerApp,1674425244810.1638,1079744
MemUsed LoggerApp,1674425245850.1636,1079752
MemUsed LoggerApp,1674425251820.207,1079748
MemUsed LoggerApp,1674425291830.1636,1079744
MemUsed LoggerApp,1674425321830.2153,1079740
MemUsed LoggerApp,1674425505850.2217,1079736
MemUsed LoggerApp,1674425522700.2087,1079728
MemUsed LoggerApp,1674425536810.1663,1079724
MemUsed LoggerApp,1674425606210.1663,1079700
MemUsed LoggerApp,1674425658840.2078,1079696
MemUsed LoggerApp,1674425821960.2068,1079728
MemUsed LoggerApp,1674425822790.1646,1079692
MemUsed LoggerApp,1674425852810.1643,1079688
MemUsed LoggerApp,1674425853640.2048,1079684
MemUsed LoggerApp,1674425854450.1667,1079692
MemUsed LoggerApp,1674426069190.1602,1079684
MemUsed LoggerApp,1674426183330.2166,1079936
MemUsed LoggerApp,1674426183750.2192,1079928
MemUsed LoggerApp,1674426455690.1682,1079916
MemUsed LoggerApp,1674426456730.2217,1079924
MemUsed LoggerApp,1674426539150.1655,1079916
MemUsed LoggerApp,1674427033210.1646,1079912
MemUsed LoggerApp,1674427056800.2056,1079908
MemUsed LoggerApp,1674427064880.205,1079900
MemUsed LoggerApp,1674427065710.1604,1079908
MemUsed LoggerApp,1674427082820.2065,1079904
MemUsed LoggerApp,1674427226710.2036,1079900
MemUsed LoggerApp,1674427410850.168,1079896
MemUsed LoggerApp,1674427440840.2058,1079892
MemUsed LoggerApp,1674427478740.2097,1079880
MemUsed LoggerApp,1674427551910.2175,1079876
MemUsed LoggerApp,1674427673100.2085,1079872
MemUsed LoggerApp,1674427673720.2056,1079868
MemUsed LoggerApp,1674427673930.1667,1079864
MemUsed LoggerApp,1674427674760.2031,1079868
MemUsed LoggerApp,1674427779000.2017,1079864
MemUsed LoggerApp,1674427810860.223,1079860
MemUsed LoggerApp,1674427851640.2078,1079856
MemUsed LoggerApp,1674427871780.2175,1079852
MemUsed LoggerApp,1674427902040.2192,1079848
MemUsed LoggerApp,1674427921230.166,1079832
MemUsed LoggerApp,1674428275840.2063,1079824
MemUsed LoggerApp,1674428276670.1667,1079832
MemUsed LoggerApp,1674428276880.2095,1079828
MemUsed LoggerApp,1674428397050.1643,1079824
MemUsed LoggerApp,1674428884920.2048,1079816
MemUsed LoggerApp,1674428885130.1633,1079812
MemUsed LoggerApp,1674428885750.168,1079816
MemUsed LoggerApp,1674428985770.2058,1079812
MemUsed LoggerApp,1674429038500.2192,1079808
MemUsed LoggerApp,1674429099860.2087,1079804
MemUsed LoggerApp,1674429131130.1611,1079800
MemUsed LoggerApp,1674429157880.2017,1079796
MemUsed LoggerApp,1674429179880.2058,1079792
MemUsed LoggerApp,1674429222780.2017,1079788
MemUsed LoggerApp,1674429231870.2024,1079780
MemUsed LoggerApp,1674429241980.2024,1079776
MemUsed LoggerApp,1674429313740.201,1079760
MemUsed LoggerApp,1674429376750.1665,1079756
MemUsed LoggerApp,1674429407740.2017,1079748
MemUsed LoggerApp,1674429466680.228,1079744
MemUsed LoggerApp,1674429486370.1624,1079740
MemUsed LoggerApp,1674429486780.205,1079736
